Year,Piemonte,Valle d'Aosta,Lombardia,P.A. Bolzano,P.A. Trento,Veneto,Friuli-Venezia Giulia,Liguria,Emilia Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
1970,4324173,114409,8837150,437426,445997,4364265,1200155,1694410,NA,3533095,809605,NA,5115628,1243014,330382,5607965,4013227,611029,2080660,4969910,1637940
1990,4324173,114409,8837150,437426,445997,4364265,1200155,1694410,NA,3533095,809605,NA,5115628,1243014,330382,5607965,4013227,611029,2080660,4969910,1637940
1991,4307852,115275,8849595,438916,448280,4372865,1198178,1684514,NA,3531357,810623,NA,5130191,1245844,330557,5621030,4025392,610970,2075886,4970805,1644286
1992,4298870,115896,8860344,440635,449805,4381173,1196164,1674120,NA,3526897,811504,NA,5142908,1249558,330605,5631686,4031540,610394,2069008,4966884,1648005
1993,4288065,116244,8874313,442450,451606,4388825,1191952,1662053,NA,3521712,810885,NA,5159157,1252191,329889,5655559,4039668,610191,2065139,4981012,1649493
1994,4274380,116389,8875372,444327,453863,4394897,1186719,1652196,NA,3515048,812455,NA,5157006,1252332,329523,5674718,4049795,610022,2067242,4994781,1650731
1995,4261168,116653,8875974,446195,455982,4400073,1183131,1641159,NA,3505309,813664,NA,5154261,1254352,329214,5691818,4055934,609799,2064883,5004913,1651147
1996,4250494,117063,8881327,448361,458159,4409243,1180292,1629143,NA,3498181,814173,NA,5148923,1255514,328100,5703781,4057268,608902,2062112,5009331,1650440
1997,4245330,117588,8901539,450683,460984,4426481,1177870,1618812,NA,3494793,816105,NA,5143465,1257426,327041,5715238,4054098,607150,2056715,5010307,1649117
1998,4238764,118071,8922361,453549,463899,4444340,1177178,1608299,NA,3492712,817638,NA,5135769,1259153,325621,5723749,4051043,605768,2050493,5011170,1646474
1999,4232495,118615,8944601,455859,467025,4464206,1177047,1597964,NA,3490565,818737,NA,5125728,1260492,324125,5722729,4042633,603507,2041446,5004493,1642057
2000,4225083,118861,8971148,458553,470505,4485059,1178264,1587787,NA,3491580,820844,NA,5119323,1261117,322772,5717694,4034887,601399,2028592,4994427,1638573
2001,4219509,119248,9004085,461111,474305,4508549,1181210,1579106,NA,3495077,824194,NA,5119189,1261287,321467,5708759,4026945,599350,2019405,4979647,1635003
2002,4213294,119546,9033602,463207,477359,4529823,1183603,1570004,NA,3497042,826196,NA,5117075,1262379,320467,5701389,4019500,597468,2009623,4965669,1630847
2003,4231334,120909,9108645,467338,483157,4577408,1191588,1572197,NA,3516296,834210,NA,5145805,1273284,321047,5725098,4023957,596821,2007392,4972124,1637639
2004,4270215,122040,9246796,471635,490829,4642899,1198187,1577474,NA,3566071,848022,NA,5205139,1285896,321697,5760353,4040990,597000,2011338,5003262,1643096
2005,4330172,122868,9393092,477067,497546,4699950,1204718,1592309,NA,3598269,858938,NA,5269972,1299272,321953,5788986,4068167,596546,2009268,5013081,1650052
2006,4341733,123978,9475202,482650,502478,4738313,1208278,1610134,NA,3619872,867878,NA,5304778,1305307,320907,5790929,4071518,594086,2004415,5017212,1655677
2007,4352828,124812,9545441,487673,507030,4773554,1212602,1607878,NA,3638211,872967,NA,5493308,1309797,320074,5790187,4069869,591338,1998052,5016861,1659443
2008,4401266,125979,9642406,493910,513357,4832340,1222061,1609822,NA,3677048,884450,NA,5561017,1323987,320838,5811390,4076546,591001,2007707,5029683,1665617
2009,4432571,127065,9742676,498857,519800,4885548,1230936,1615064,NA,3707818,894222,NA,5626710,1334675,320795,5812962,4079702,590601,2008709,5037799,1671001
2010,4446230,127866,9826141,503434,524826,4912438,1234079,1615986,NA,3730130,900790,NA,5681868,1338898,320229,5824662,4084035,588879,2009330,5042992,1672404
2011,4457335,128230,9917714,507657,529457,4937854,1235808,1616788,NA,3749813,906486,1565335,5728688,1342366,319780,5834056,4091259,587517,2011395,5051075,1675411
2012,4357663,126620,9700881,504708,524877,4853657,1217780,1567339,NA,3667780,883215,1540688,5500022,1306416,313145,5764424,4050072,577562,1958418,4999854,1637846
2100,6191849,179916,13784084,717145,745803,6896612,1730356,2227048,NA,5211587,1254969,2189180,7815039,1856300,444951,8190731,5754790,820664,2782737,7104345,2327233
