Year,Piemonte,Valle d'Aosta,Lombardia,P.A. Bolzano,P.A. Trento,Veneto,Friuli-Venezia Giulia,Liguria,Emilia Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
1970,33940,1010,77270,5240,4410,39070,8640,11340,NA,26630,6530,NA,51150,12750,3410,81300,52260,7710,28050,70500,19140
1990,33940,1010,77270,5240,4410,39070,8640,11340,NA,26630,6530,NA,51150,12750,3410,81300,52260,7710,28050,70500,19140
1991,32780,970,74870,5320,4290,37960,8430,11260,NA,25350,6480,NA,49500,12320,3430,79370,49550,7170,26520,64500,16260
1992,33752,987,77513,5381,4658,39350,8916,11689,NA,26278,6652,NA,51421,12572,3428,82370,50956,7327,26662,68996,16103
1993,33016,913,76263,5194,4472,38284,8327,11078,NA,25811,6359,NA,49931,12212,3229,77453,48291,6731,25365,64873,15486
1994,32580,990,74920,5210,4490,37690,8260,10850,NA,25100,6250,NA,48710,11870,3130,75480,47070,6400,23220,61000,14610
1995,32841,1002,75600,5189,4585,38246,8307,10831,NA,25201,6250,NA,46525,11254,2964,71437,45157,6237,22632,58063,14265
1996,33514,1097,78215,5419,4730,39612,8653,11107,NA,25772,6315,NA,47411,11449,2846,74760,45065,5966,21798,58479,13877
1997,34586,1012,81035,5607,4802,40855,8876,11101,NA,26709,6430,NA,47172,11349,2885,71972,44406,6094,21556,57629,13837
1998,34700,1100,81000,5400,4900,41500,9000,11200,NA,26800,6400,NA,46200,11100,2800,69700,43200,5700,20900,55300,13200
1999,34600,1100,82300,5600,5000,41700,9100,11000,NA,27100,6600,NA,50700,10800,2800,68700,42400,5600,19600,54900,13600
2000,35900,1200,85300,5400,5100,43300,9600,11300,NA,28400,6800,NA,48900,10900,2700,67200,42600,5700,19400,53200,13900
2001,34900,1100,85100,5500,5000,42200,9500,11400,NA,28400,6800,NA,47800,10900,2600,66600,41800,5400,18800,51900,13400
2002,35720,1110,86630,5210,5070,43430,9570,11490,NA,29380,7100,NA,48500,10580,2600,65070,40150,5470,18450,51230,13160
2003,36400,1200,87600,5400,5000,43900,9900,11500,NA,29000,7100,NA,50500,11000,2600,65200,39700,5300,18800,51900,13600
2004,37400,1200,92900,5500,5500,47100,10100,12000,NA,31700,7600,NA,52000,11100,2500,65100,40600,5300,18700,51700,13100
2005,37250,1160,92480,5520,5190,46260,10080,11960,NA,31390,7730,NA,50830,11200,2530,62600,38720,4910,18230,50790,13230
2006,37850,1250,95160,5410,5190,47060,10360,12150,NA,31600,7820,NA,52910,11090,2460,62280,37760,4960,18330,49940,13260
2007,38565,1241,96280,5502,5178,47633,10557,12156,NA,32258,8028,NA,52445,11428,2507,61800,38224,4873,18107,49186,13383
2008,39551,1296,98672,5462,5423,48615,10501,12450,NA,33610,8271,NA,56755,11743,2507,60742,38284,4923,17995,49837,13470
2009,39123,1308,98792,5232,5356,47682,10468,12329,NA,32380,7879,NA,54701,11402,2360,59646,37995,4729,18013,49217,13508
2010,38385,1254,97815,5381,5454,46925,10337,11983,NA,32636,7933,NA,54277,11737,2511,58212,37168,4612,17801,48083,13538
2011,37759,1221,94079,5270,5295,45393,9941,11478,NA,31574,7740,13856,54427,11347,2375,56520,36007,4483,17228,47136,13032
2012,37067,1177,91798,5414,5153,44403,9824,11583,NA,31126,7596,13196,53033,11188,2332,54839,34852,4480,17030,46314,12444
2100,37067,1177,91798,5414,5153,44403,9824,11583,NA,31126,7596,13196,53033,11188,2332,54839,34852,4480,17030,46314,12444
