Time,Piemonte,Valle d'Aosta,Lombardia,P.A. Bolzano,P.A. Trento,Veneto,Friuli-Venezia Giulia,Liguria,Emilia Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996.084699,32,0,72,30,5,35,2,13,42,83,2,22,39,17,21,57,23,4,4,18,10
1996.163934,33,2,74,14,3,37,1,18,38,90,4,19,47,13,22,47,18,2,4,23,3
1996.248634,50,0,53,18,4,16,4,4,20,58,2,16,45,17,6,43,22,0,10,20,0
1996.330601,22,1,50,12,8,12,8,0,28,75,1,10,50,6,8,23,30,0,0,25,9
1996.415301,28,0,49,23,12,17,9,4,43,63,1,11,49,6,10,45,33,3,5,45,12
1996.497268,33,0,54,15,1,24,2,3,17,66,1,18,25,4,3,29,22,5,3,10,14
1996.581967,29,0,38,10,6,14,4,1,30,12,3,17,27,5,4,48,11,4,3,15,10
1996.666667,25,1,28,14,15,12,11,1,15,12,0,8,21,6,4,20,9,0,2,10,13
1996.748634,14,0,16,10,10,7,7,2,13,21,1,3,15,3,2,16,6,1,1,13,8
1996.833333,32,0,31,7,6,20,1,0,16,21,1,4,12,4,0,9,1,1,1,13,15
1996.915301,15,0,40,14,13,27,6,6,20,25,0,7,6,11,1,14,4,0,5,8,11
1997,6,0,25,3,9,10,1,0,11,15,0,5,19,1,0,6,15,1,3,4,0
1997.084932,9,0,14,14,2,23,9,0,8,12,15,6,14,11,0,14,15,0,6,13,10
1997.161644,18,0,34,23,3,30,3,5,12,11,5,7,16,2,3,22,18,3,7,4,2
1997.246575,23,0,42,13,3,38,10,3,21,25,5,3,17,6,1,25,11,1,21,11,2
1997.328767,36,2,56,13,3,41,11,3,30,15,6,2,13,3,0,34,24,0,9,11,2
1997.413699,22,0,60,20,5,48,6,24,14,11,5,1,17,7,6,32,15,0,20,22,1
1997.49589,12,0,43,2,1,50,3,7,25,17,1,3,17,3,1,24,18,1,3,24,3
1997.580822,13,0,81,5,18,77,3,7,12,7,3,8,15,1,1,58,21,0,20,7,5
1997.665753,16,0,70,5,8,68,4,0,19,6,2,3,10,3,0,37,26,0,5,17,3
1997.747945,20,0,76,6,8,34,7,3,18,13,2,5,14,3,3,27,13,3,8,19,1
1997.832877,18,0,54,4,4,32,5,1,17,10,4,4,16,7,2,26,18,6,3,13,2
