Year,Piemonte,Valle d'Aosta,Lombardia,P.A. Bolzano,P.A. Trento,Veneto,Friuli-Venezia Giulia,Liguria,Emilia Romagna,Toscana,Umbria,Marche,Lazio,Abruzzo,Molise,Campania,Puglia,Basilicata,Calabria,Sicilia,Sardegna,NA
2001,93.2,99.2,95.9,87.4,95.4,96.9,96.1,85.9,96.8,86.1,97,97.7,82.1,95.8,97.4,91.1,96.3,98.1,,80.6,97.1,93.3
2002,88.2,90.2,96.5,91.5,94.3,96.7,96.3,84.7,96.8,74.2,97.4,97.4,85.9,,98,94.7,,99.1,93.9,90.5,98.2,92.9
2003,96.7,97.8,97.1,90.4,95.4,96.5,97,95.5,96.9,95.7,96.3,96.3,92.6,98.6,96.2,94.6,98.8,99.6,93.6,89.3,97.8,95.8
2004,96.1,98.7,97.8,89,95.4,96.7,96.7,95.7,97.3,96,97.6,97.7,95.1,74.2,,94.2,94.1,88.9,86.1,95.4,98.2,94
2005,96.3,99.4,97.7,71.3,95.6,96.7,96.5,96,97.2,95.9,97.6,97.7,90.7,98.1,98.4,93,98.6,98.9,81.6,93,98.4,94.7
2006,96.6,97.4,97.3,89,96,96.9,96.2,95,97.3,97,97.1,98,94,98,98.5,93,96.3,98.4,94,96.3,98.1,96.2
2007,96.9,,95.9,88.6,96.4,96.8,95.7,96.2,97.3,96.9,97.6,97.5,98,97.9,98,94.5,97.4,99.1,95.4,,97.9,96.5
2008,96.5,96.4,96.2,89.3,96,96.6,95.4,97,97.1,96.9,97,97.9,95.8,97.9,98.2,90.7,96.7,97.6,94.9,96.8,97.3,96.1
2009,96.3,95.1,97,88.4,96.2,96.4,96,96.3,97.1,96.8,97.3,97.7,96.5,97.6,94.6,94.6,97,98.9,94.5,95.9,96.7,96
2010,96.5,95.3,97.2,,95.9,95.4,96.1,97.6,96.9,96.1,97.6,97.1,97.1,97.5,99,93.4,97.5,98,92.2,94.3,93,96.2
2011,95.9,95.2,96.9,89.9,95.7,95.3,96.2,96.7,96.2,95.8,97.8,97.1,96.5,99.1,99,91.9,96.9,98.6,95.9,94.8,91.4,95.8
2012,96.5,95.7,96.5,89.3,95.1,94.6,95.1,96.7,96,95.1,97.3,97.5,98.8,99.7,97.6,93.3,96.5,99.8,95.8,95.7,93.3,96
2100,96.5,95.7,96.5,89.3,95.1,94.6,95.1,96.7,96,95.1,97.3,97.5,98.8,99.7,97.6,93.3,96.5,99.8,95.8,95.7,93.3,96
